time,state_f,state_estimated,drag_effect,state_model_guess,state_model_optimized
42.948776,0.010246,-2e-06,-0.010248,0.0001727327071239905,-0.00024251874825390477
42.950729,0.010226,-1e-06,-0.010227,0.0001690497545224616,-0.000237181833155729
42.952686,-0.000989,-0.0,0.000989,0.00016513088983013176,-0.00023168354944486718
42.954639,-0.000222,0.0,0.000222,0.00016172912649309177,-0.0002270695918934887
42.956593,-0.000982,1e-06,0.000983,0.00015863457790619732,-0.00022256903061446297
42.958546,-0.020164,2e-06,0.020166,0.00015596625580533381,-0.0002188252953507204
42.960503,-0.037679,2e-06,0.037681,0.00015365003934429087,-0.00021557557477131165
42.962448,-0.05518,3e-06,0.055183,0.00015174401516803866,-0.00021290136616663384
42.964405,-0.064602,3e-06,0.06460500000000001,0.00014952635418530473,-0.00020964311121668966
42.966358,-0.042683,4e-06,0.042686999999999996,0.00014648330866350465,-0.00020552043848670715
42.968307,-0.009017,4e-06,0.009021000000000001,0.00014328228400582117,-0.00020102930569310598
42.970261,0.009595,5e-06,-0.00959,0.000140305564467489,-0.00019685287965281683
42.972218,0.023695,5e-06,-0.02369,0.00013792169930814568,-0.00019350824593781195
42.974167,0.038792,5e-06,-0.038787,0.00013611449184694526,-0.0001911063441982769
42.97612,0.04077,5e-06,-0.040765,0.00013462928004336083,-0.0001890210893933564
42.978069,0.024738,6e-06,-0.024732,0.00013352236972607865,-0.00018733585569756324
42.980026,-0.006621,6e-06,0.006627,0.00013260205745568298,-0.0001860446302119968
42.981979,-0.045947,6e-06,0.045953,0.00013150188381085177,-0.00018450105386899762
42.983936,-0.089843,6e-06,0.08984900000000001,0.00013046703907623497,-0.00018304913592991916
42.985889,-0.119394,6e-06,0.1194,0.00012883344855012778,-0.00018063066627941978
42.987846,-0.115171,1.5e-05,0.115186,0.0001267874237478471,-0.00017788652619197368
42.989796,-0.094199,3.1e-05,0.09423000000000001,0.000125235061166839,-0.00017570851532336314
42.991749,-0.073053,3.1e-05,0.07308400000000001,0.00012398821043324126,-0.00017395914666262977
42.993706,-0.053851,2e-05,0.053871,0.00012280501380442432,-0.00017241968080645013
42.995651,-0.03808,9e-06,0.038089000000000005,0.00012180504898681961,-0.00017101571846543634
42.997604,-0.025738,-1e-06,0.025737,0.00012051704502100256,-0.00016920734577947024
42.999557,-0.017259,-1e-05,0.017249,0.00011923588717435639,-0.00016740858512517639
43.001511,-0.019005,-1.8e-05,0.018987,0.00011801935018604043,-0.00016570055291446602
43.003468,-0.031134,-2.5e-05,0.031108999999999998,0.0001167530177138197,-0.00016380795610175037
43.005421,-0.040113,-3.2e-05,0.040081000000000006,0.00011560642001717003,-0.00016219924543339284
43.007374,-0.041325,-3.8e-05,0.041287,0.00011457931969704755,-0.00016075819313816979
43.009327,-0.034283,-4.4e-05,0.034239,0.0001131603944386566,-0.0001587673988016337
43.01128,-0.014401,-4.8e-05,0.014353000000000001,0.00011169270859706606,-0.0001568178738645292
43.013233,0.015042,-5.3e-05,-0.015094999999999999,0.00011085112393722073,-0.00015563627912399823
43.015182,0.047393,-5.6e-05,-0.047449,0.00011006851633085197,-0.00015453748885879213
43.017132,0.073616,-6e-05,-0.073676,0.00010928732105694045,-0.0001535480188419084
43.019089,0.085782,-6.2e-05,-0.085844,0.00010845487020074678,-0.00015237843047140388
43.021042,0.093922,-6.5e-05,-0.093987,0.00010806882715850596,-0.0001517299017894473
43.023018,0.09913,-6.6e-05,-0.09919599999999999,0.000107956927314446,-0.00015167882375629306
43.024952,0.087879,-6.8e-05,-0.087947,0.00010768078744205244,-0.0001512908489215252
43.026909,0.072623,-6.9e-05,-0.07269199999999999,0.0001074601301487068,-0.00015098082677157622
43.028858,0.069422,-7e-05,-0.069492,0.00010707452445623622,-0.00015043905312793308
43.030811,0.058344,-7e-05,-0.058414,0.0001066896118539819,-0.00014989825327181214
43.032764,0.027122,-7e-05,-0.027192,0.000106579764127051,-0.00014974391788613882
43.034714,-0.001828,-7e-05,0.001758,0.00010679951615970599,-0.0001500526681503444
43.036667,-0.02194,-7e-05,0.02187,0.00010723969917053388,-0.00015067112259306312
43.038628,-0.03489,-6.9e-05,0.034821,0.00010806882715850596,-0.0001517299017894473
43.040573,-0.034913,-6.8e-05,0.034845,0.00010934429169323844,-0.00015352066896698902
43.042526,-0.025565,-6.7e-05,0.025498,0.00011129957303265727,-0.00015626590691766675
43.044483,-0.010138,-6.6e-05,0.010072,0.00011400927831636258,-0.000160070364941181
43.046436,0.026251,-6.5e-05,-0.026316,0.00011698156904694155,-0.0001642434960142051
43.048389,0.097172,-6.4e-05,-0.09723599999999999,0.000120108661282077,-0.00016863397021661062
43.050343,0.162412,-6.2e-05,-0.162474,0.00012368919118031034,-0.0001737825584360279
43.052296,0.188839,-6e-05,-0.188899,0.00012798327727769714,-0.00017994144333227638
43.054249,0.196832,-5.9e-05,-0.196891,0.00013314889178824802,-0.0001872041744522948
43.056198,0.174817,-4.7e-05,-0.174864,0.00013847928289874187,-0.00019469857755205779
